constituency;gss_code;three_code;nation;region;con_type;electorate;area;density;center_lat;center_lon
St Helens South and Whiston;E14001510;SHS;England;North West;borough;70937;54,92340363;1291,562345;53,42732637;-2,738071253
St Ives;E14001511;STV;England;South West;county;70107;592,9269384;118,2388511;50,10105287;-5,423336075
St Neots and Mid Cambridgeshire;E14001512;SNC;England;Eastern;county;74699;349,92019;213,4743925;52,24269726;-0,072704621
Stafford;E14001513;STF;England;West Midlands;county;70537;416,3188166;169,4302472;52,85074646;-2,2771659
Staffordshire Moorlands;E14001514;STM;England;West Midlands;county;70113;532,7372799;131,6089612;53,08963373;-1,979933473
Stalybridge and Hyde;E14001515;SAH;England;North West;county;73028;63,22934516;1154,970051;53,47684987;-2,032471976
Stevenage;E14001516;SVG;England;Eastern;county;70370;63,4225382;1109,542475;51,88175408;-0,194139916
Stirling and Strathallan;S14000105;STG;Scotland;Scotland;county;77008;2492,090919;30,90095928;56,24535841;-4,286321449
Stockport;E14001517;SPT;England;North West;borough;74769;25,28234299;2957,360401;53,41779758;-2,168899301
Stockton North;E14001518;SKN;England;North East;county;69779;91,96138768;758,7858531;54,6028186;-1,289705851
Stockton West;E14001519;SKW;England;North East;county;70108;194,2283098;360,9566498;54,53124244;-1,415790327
Stoke-on-Trent Central;E14001520;STC;England;West Midlands;borough;70550;36,7677865;1918,799219;53,0127317;-2,162062684
Stoke-on-Trent North;E14001521;STN;England;West Midlands;borough;69821;47,89975314;1457,648431;53,07028896;-2,20306961
Stoke-on-Trent South;E14001522;STS;England;West Midlands;county;69831;158,8252893;439,6717949;52,94732014;-2,116836109
Stone, Great Wyrley and Penkridge;E14001523;SGW;England;West Midlands;county;70701;415,0091958;170,3600805;52,76107429;-2,097497536
Stourbridge;E14001524;SBR;England;West Midlands;borough;69840;29,28473789;2384,86;52,46313569;-2,131265469
Strangford;N05000016;SGF;Northern Ireland;Northern Ireland;county;70070;786,7427038;89,06342526;54,45612448;-5,66078073
Stratford and Bow;E14001525;SAB;England;London;borough;73849;11,28968759;6541,279323;51,53957119;-0,005709473
Stratford-on-Avon;E14001526;SOA;England;West Midlands;county;72388;628,9601959;115,0915439;52,17202942;-1,72526285
Streatham and Croydon North;E14001527;SCN;England;London;borough;76050;13,77229935;5521,953746;51,41819921;-0,112828539
Stretford and Urmston;E14001528;SAU;England;North West;borough;73212;46,80608576;1564,155575;53,44634568;-2,352516062
Stroud;E14001529;STR;England;South West;county;76249;281,5941155;270,7762549;51,71063835;-2,349092324
Suffolk Coastal;E14001530;SFC;England;Eastern;county;72663;699,3214741;103,9050032;52,1796369;1,474657493
Sunderland Central;E14001531;SUN;England;North East;borough;72688;30,63132955;2372,995266;54,90320863;-1,387701489
Surrey Heath;E14001532;SRH;England;South East;county;70825;130,4832896;542,7898102;51,32503429;-0,670655532
Sussex Weald;E14001533;SXW;England;South East;county;70075;481,4062237;145,5631368;51,01078216;0,221270637
Sutton and Cheam;E14001534;SAC;England;London;borough;71284;18,2692035;3901,866876;51,36313166;-0,208947186
Sutton Coldfield;E14001535;SUT;England;West Midlands;borough;74584;57,65105667;1293,714362;52,5617201;-1,813211505
Swansea West;W07000108;SWT;Wales;Wales;county;74612;35,14276951;2123,110985;51,63970784;-3,956361663
Swindon North;E14001536;SNN;England;South West;county;72163;102,3369485;705,1509844;51,61795877;-1,750079249
Swindon South;E14001537;SNS;England;South West;borough;72468;32,66291896;2218,662701;51,55435693;-1,782640165
Tamworth;E14001538;TMW;England;West Midlands;county;73644;191,6978168;384,1671294;52,6490616;-1,737950127
Tatton;E14001539;TAT;England;North West;county;75538;361,8101294;208,7780133;53,30219088;-2,407452078
Taunton and Wellington;E14001540;TAW;England;South West;county;76049;287,7741467;264,2662688;50,99317351;-3,091125854
Telford;E14001541;TFD;England;West Midlands;borough;70768;51,5054335;1373,99096;52,66544387;-2,455182344
Tewkesbury;E14001542;TEW;England;South West;county;72426;321,8198066;225,0514061;51,96106369;-2,048374328
The Wrekin;E14001543;WRK;England;West Midlands;county;76143;506,8967382;150,2140264;52,76067593;-2,471205415
Thirsk and Malton;E14001544;TAM;England;Yorkshire and the Humber;county;76623;1986,134566;38,57895699;54,21845859;-0,947365176
Thornbury and Yate;E14001545;TAY;England;South West;county;74935;457,3781346;163,8359911;51,55750612;-2,463201279
Thurrock;E14001546;THK;England;Eastern;borough;73347;71,34053975;1028,125106;51,49052865;0,303085603
Tipton and Wednesbury;E14001547;TIP;England;West Midlands;borough;73820;27,45247784;2689,010458;52,54217548;-2,034088431
Tiverton and Minehead;E14001548;TIV;England;South West;county;70829;1300,801012;54,45029589;51,06462651;-3,439134344
Tonbridge;E14001549;TON;England;South East;county;73692;302,9372192;243,2583233;51,23911349;0,25358034
Tooting;E14001550;TOO;England;London;borough;76986;11,23637289;6851,49921;51,43677148;-0,165490928
Torbay;E14001551;TRB;England;South West;borough;75742;92,56934125;818,2190667;50,45001823;-3,520666436
Torfaen;W07000109;TOR;Wales;Wales;county;70591;126,2399289;559,1812403;51,69858737;-3,053426953
Torridge and Tavistock;E14001552;TAV;England;South West;county;74802;1644,173964;45,4951858;50,77795808;-4,189431387
Tottenham;E14001553;TOT;England;London;borough;75968;11,93018604;6367,712936;51,58917617;-0,075778962
Truro and Falmouth;E14001554;TRF;England;South West;county;73326;444,4576448;164,9786;50,27001073;-5,023241447
Tunbridge Wells;E14001555;TNW;England;South East;county;75213;248,0694349;303,1933379;51,12016807;0,38615568
Twickenham;E14001556;TWI;England;London;borough;75889;27,77765885;2732,015697;51,42778487;-0,343958839
Tynemouth;E14001557;TYN;England;North East;borough;73022;35,08657863;2081,194658;55,02838093;-1,465763269
Upper Bann;N05000017;UBN;Northern Ireland;Northern Ireland;county;76969;381,776876;201,6072864;54,43907908;-6,428085688
Uxbridge and South Ruislip;E14001558;UXB;England;London;borough;75042;40,37585525;1858,586017;51,5515903;-0,450853887
Vale of Glamorgan;W07000110;VOG;Wales;Wales;county;70426;302,0648446;233,1486145;51,44628942;-3,422661683
Vauxhall and Camberwell Green;E14001559;VCG;England;London;borough;69995;7,684489022;9108,608237;51,48516186;-0,111948732
Wakefield and Rothwell;E14001560;WKF;England;Yorkshire and the Humber;borough;73968;60,66548477;1219,276501;53,71274296;-1,489363266
Wallasey;E14001561;WLL;England;North West;borough;73054;38,83941889;1880,924125;53,41786165;-3,080264982
Walsall and Bloxwich;E14001562;WAB;England;West Midlands;borough;74866;32,05076543;2335,85685;52,59526707;-1,987641388
Walthamstow;E14001563;WHW;England;London;borough;70867;16,18094513;4379,657643;51,58508917;-0,027794124
Warrington North;E14001564;WAN;England;North West;county;72350;91,28405452;792,5809209;53,42693251;-2,551186687
Warrington South;E14001565;WAS;England;North West;county;76639;74,24357941;1032,264347;53,36880379;-2,599512372
Warwick and Leamington;E14001566;WKL;England;West Midlands;county;75440;89,39508979;843,8942248;52,28279005;-1,516440751
Washington and Gateshead South;E14001567;WGS;England;North East;borough;71775;69,79125195;1028,424022;54,90804591;-1,552601317
Watford;E14001568;WAT;England;Eastern;borough;70576;24,40773268;2891,542648;51,66723193;-0,400021307
Waveney Valley;E14001569;WAV;England;Eastern;county;70540;988,9201565;71,33032888;52,36271946;1,238507477
Weald of Kent;E14001570;WKT;England;South East;county;70110;763,0899828;91,87645177;51,13859273;0,6972873
Wellingborough and Rushden;E14001571;WBR;England;East Midlands;county;76669;91,59492948;837,0441512;52,30334619;-0,630327157
Wells and Mendip Hills;E14001572;WEL;England;South West;county;69843;672,909318;103,7925886;51,24609011;-2,771562546
Welwyn Hatfield;E14001573;WHT;England;Eastern;county;74535;107,9343719;690,5585191;51,77756681;-0,206355057
West Aberdeenshire and Kincardine;S14000111;WAK;Scotland;Scotland;county;73634;3271,901009;22,50495959;57,04152316;-2,859140646
West Bromwich;E14001574;WBW;England;West Midlands;borough;72206;35,36754039;2041,589525;52,52077349;-1,998576939
West Dorset;E14001575;WDS;England;South West;county;75390;1010,873461;74,57906742;50,79423605;-2,593997079
West Dunbartonshire;S14000106;WDB;Scotland;Scotland;county;70286;183,4114298;383,2149396;55,98456557;-4,517110446
West Ham and Beckton;E14001576;WHB;England;London;borough;70590;21,08042231;3348,604642;51,51525584;0,041570409
West Lancashire;E14001577;WLA;England;North West;county;73652;262,3559026;280,733154;53,57329332;-2,866826423
West Suffolk;E14001578;WSF;England;Eastern;county;76243;761,8868327;100,0712924;52,26783704;0,558017407
West Tyrone;N05000018;WTY;Northern Ireland;Northern Ireland;county;70614;2119,505232;33,31626595;54,67045172;-7,325184051
West Worcestershire;E14001579;WWR;England;West Midlands;county;76638;705,2888964;108,6618553;52,16059423;-2,293459191
Westmorland and Lonsdale;E14001580;WAL;England;North West;county;72322;2536,443911;28,51314775;54,45290225;-2,730284833
Weston-super-Mare;E14001581;WSM;England;South West;county;70722;73,6919117;959,6982677;51,34789837;-2,947210867
Wetherby and Easingwold;E14001582;WAE;England;Yorkshire and the Humber;county;71455;941,8436573;75,86715634;54,00415844;-1,291397253
Whitehaven and Workington;E14001583;WAW;England;North West;county;73385;550,3144311;133,3510369;54,51287499;-3,443035035
Widnes and Halewood;E14001584;WAH;England;North West;county;70865;70,99424663;998,1794774;53,36661028;-2,778648353
Wigan;E14001585;WGN;England;North West;county;75607;60,50902836;1249,516015;53,56676985;-2,643332407
Wimbledon;E14001586;WIM;England;London;borough;74641;22,91219958;3257,696832;51,41373759;-0,224310179
Winchester;E14001587;WIN;England;South East;county;76577;572,8716901;133,6721666;51,0487163;-1,231667832
Windsor;E14001588;WND;England;South East;county;74338;110,9602316;669,9517381;51,44478158;-0,59870381
Wirral West;E14001589;WIR;England;North West;county;72126;148,4160464;485,9717108;53,35979216;-3,136552987
Witham;E14001590;WTM;England;Eastern;county;75064;436,9937691;171,7736163;51,82172691;0,710188855
Witney;E14001591;WIT;England;South East;county;70042;557,7406523;125,5816654;51,72860647;-1,555933825
Woking;E14001592;WOK;England;South East;borough;71737;63,60360392;1127,87634;51,31387862;-0,560770105
Wokingham;E14001593;WKM;England;South East;county;70235;138,344019;507,6836751;51,42922956;-0,868711514
Wolverhampton North East;E14001594;WNE;England;West Midlands;borough;70449;27,04994553;2604,404505;52,60869649;-2,085317181
Wolverhampton South East;E14001595;WSE;England;West Midlands;borough;75685;30,73296579;2462,665026;52,57196515;-2,069488246
Wolverhampton West;E14001596;WWE;England;West Midlands;borough;75592;30,34680014;2490,938078;52,58754875;-2,155095529
Worcester;E14001597;WOR;England;West Midlands;borough;73928;33,27812499;2221,519392;52,19669266;-2,211324212
Worsley and Eccles;E14001598;WSL;England;North West;county;76915;71,48807558;1075,913701;53,47835504;-2,416958946
Worthing West;E14001599;WRH;England;South East;county;76293;75,87080432;1005,564666;50,84412697;-0,439113399
Wrexham;W07000111;WRE;Wales;Wales;county;70964;293,0113113;242,1886025;53,01976651;-2,91916503
Wycombe;E14001600;WYC;England;South East;county;71769;141,0470661;508,8301514;51,60800385;-0,8298152
Wyre Forest;E14001601;WYF;England;West Midlands;county;77015;195,4037195;394,1327227;52,37957653;-2,274666935
Wythenshawe and Sale East;E14001602;WYT;England;North West;borough;76971;36,54467703;2106,216452;53,39250068;-2,28147311
Yeovil;E14001603;YEO;England;South West;county;76056;335,5523327;226,6591306;50,90657576;-2,846172761
Ynys Môn;W07000112;YNM;Wales;Wales;county;52415;749,0227194;69,97785066;53,28569244;-4,374343109
York Central;E14001604;YOC;England;Yorkshire and the Humber;borough;74854;25,17877134;2972,901219;53,95584825;-1,087725903
York Outer;E14001605;YOO;England;Yorkshire and the Humber;county;72720;246,8360444;294,608513;53,95901318;-1,058769412
