constituency;gss_code;three_code;nation;region;con_type;electorate;area;density;center_lat;center_lon
Newbury;E14001376;NBY;England;South East;county;71631;396,7622553;180,5388467;51,44715608;-1,415058104
Newcastle upon Tyne Central and West;E14001377;NCL;England;North East;borough;76460;33,3026561;2295,912968;54,98368647;-1,671985861
Newcastle upon Tyne East and Wallsend;E14001378;NCE;England;North East;borough;76875;28,05702665;2739,95534;54,99038767;-1,54527982
Newcastle upon Tyne North;E14001379;NCN;England;North East;borough;76503;32,32961771;2366,344096;55,01508856;-1,615914741
Newcastle-under-Lyme;E14001380;NUL;England;West Midlands;county;70025;102,7424718;681,5584514;53,02509109;-2,297141899
Newport East;W07000104;NPE;Wales;Wales;county;76159;142,2000497;535,5764655;51,58268372;-2,914843333
Newport West and Islwyn;W07000105;NPI;Wales;Wales;county;76234;154,4125839;493,7032855;51,6137594;-3,098705395
Newry and Armagh;N05000011;NAR;Northern Ireland;Northern Ireland;county;74585;921,7911507;80,91312217;54,23065963;-6,558303704
Newton Abbot;E14001381;NTA;England;South West;county;72956;201,9284147;361,296354;50,55195467;-3,570416042
Newton Aycliffe and Spennymoor;E14001382;NAS;England;North East;county;71299;246,5244248;289,2167787;54,67113235;-1,504579635
Normanton and Hemsworth;E14001383;NAH;England;Yorkshire and the Humber;county;75388;154,8210399;486,9364013;53,63968582;-1,371830672
North Antrim;N05000012;NAN;Northern Ireland;Northern Ireland;county;71165;1137,151769;62,58179599;55,04780504;-6,344294663
North Ayrshire and Arran;S14000048;NAA;Scotland;Scotland;county;73588;833,6969041;88,2670904;55,65259306;-5,009962909
North Bedfordshire;E14001384;NBD;England;Eastern;county;76319;584,8362393;130,4963593;52,17370992;-0,413835266
North Cornwall;E14001385;NCR;England;South West;county;75034;1295,61069;57,91400195;50,61404924;-4,634008942
North Cotswolds;E14001386;NCT;England;South West;county;70915;1032,846999;68,65973382;51,85999188;-1,916457453
North Devon;E14001387;NDV;England;South West;county;76455;1104,720566;69,20754654;51,06978364;-3,914565461
North Dorset;E14001388;NDS;England;South West;county;72109;796,7311448;90,50606402;50,90607014;-2,188924722
North Down;N05000013;NDW;Northern Ireland;Northern Ireland;county;70412;118,8669729;592,359663;54,64018284;-5,679045259
North Durham;E14001389;NDH;England;North East;county;73079;229,7416077;318,0921416;54,8368013;-1,752283564
North East Cambridgeshire;E14001390;NEC;England;Eastern;county;70806;547,3553974;129,3601933;52,56284099;0,06077131
North East Derbyshire;E14001391;NED;England;East Midlands;county;72344;226,3231178;319,6491844;53,24677538;-1,459958227
North East Fife;S14000100;NEF;Scotland;Scotland;county;70452;824,4054641;85,45794887;56,30365669;-2,969257984
North East Hampshire;E14001392;NEH;England;South East;county;73306;327,3506525;223,937235;51,28196844;-0,957992694
North East Hertfordshire;E14001393;HNE;England;Eastern;county;76849;502,2538826;153,0082746;51,93391132;-0,057031257
North East Somerset and Hanham;E14001394;NES;England;South West;county;73113;209,4540337;349,064655;51,36291178;-2,545543218
North Herefordshire;E14001395;NHR;England;West Midlands;county;70894;1438,670101;49,27745418;52,1679741;-2,710334948
North Norfolk;E14001396;NNF;England;Eastern;county;70719;792,7839681;89,20336794;52,853335;1,243182039
North Northumberland;E14001397;NNU;England;North East;county;72541;2185,894085;33,1859629;55,46008824;-1,93590276
North Shropshire;E14001398;NSO;England;West Midlands;county;77052;772,6208353;99,72808975;52,87104589;-2,823527435
North Somerset;E14001399;NSS;England;South West;county;73963;198,8564873;371,9415998;51,4235359;-2,72965656
